number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,params_fastk_period,params_lower_KDJ,params_slowd_matype,params_slowd_period,params_slowk_matype,params_slowk_period,params_upper_KDJ,system_attrs_nsga2:generation,state
35,,,,2023-11-29 20:39:03.242473,2023-11-29 20:39:03.506321,0 days 00:00:00.263848,2,2.684934915081871,57,WMA,1.961800496613722,29,12,13,1,3,2,3,86,0,FAIL
36,,,,2023-11-29 20:39:03.507318,2023-11-29 20:39:03.778821,0 days 00:00:00.271503,1,2.6668785716126497,16,WMA,1.640118297747919,48,17,27,1,3,1,5,83,0,FAIL
37,0.5200432733414766,0.33635124037717085,0.6079615979868993,2023-11-29 20:39:03.787813,2023-11-29 20:39:04.148285,0 days 00:00:00.360472,0,1.6098281404213342,23,EMA,1.5768523118322149,24,17,26,0,4,0,3,83,0,COMPLETE
38,0.031131678681882196,0.013372952721553047,0.0023086946462116485,2023-11-29 20:39:04.149284,2023-11-29 20:39:04.516851,0 days 00:00:00.367567,2,2.6274041444467517,44,SMA,2.329151555655853,13,14,24,1,5,1,5,75,0,COMPLETE
39,0.4973218659779333,0.5741486990563671,0.10612140586262513,2023-11-29 20:39:04.517895,2023-11-29 20:39:04.846445,0 days 00:00:00.328550,2,2.507061906283913,60,SMA,2.880840708578582,26,7,10,1,5,0,5,72,0,COMPLETE
40,0.5890549194075535,0.4432543442418661,0.7256505446758266,2023-11-29 20:39:04.846445,2023-11-29 20:39:05.117261,0 days 00:00:00.270816,1,2.1585932654494036,13,WMA,2.8712708433722685,52,7,24,0,4,1,4,72,0,COMPLETE
41,0.4680219128148869,0.2822330627981598,0.6194770504482977,2023-11-29 20:39:05.118259,2023-11-29 20:39:05.392562,0 days 00:00:00.274303,2,1.4332597840510608,26,SMA,1.9064652077273045,18,20,19,0,5,2,3,84,0,COMPLETE
42,,,,2023-11-29 20:39:05.393560,2023-11-29 20:39:05.659512,0 days 00:00:00.265952,1,2.114392852420748,45,SMA,1.5320383267780313,24,11,12,1,3,1,4,85,0,FAIL
43,-0.1647499283185678,-0.093824030796749,-0.2938937858518294,2023-11-29 20:39:05.660644,2023-11-29 20:39:05.932124,0 days 00:00:00.271480,0,1.4686907651613834,32,EMA,2.300602001103648,34,15,21,2,5,1,4,85,0,COMPLETE
44,-0.36362337082396684,-0.1407573161721979,-0.05196875154658983,2023-11-29 20:39:05.933120,2023-11-29 20:39:06.227583,0 days 00:00:00.294463,2,2.9070462311367695,28,WMA,2.389322623039483,14,16,12,2,4,0,3,78,0,COMPLETE
45,,,,2023-11-29 20:39:06.228961,2023-11-29 20:39:06.492197,0 days 00:00:00.263236,1,2.488982266329813,45,WMA,1.4830479158521004,43,18,30,1,4,0,4,76,0,FAIL
46,,,,2023-11-29 20:39:06.493197,2023-11-29 20:39:06.763091,0 days 00:00:00.269894,2,2.99338740773623,47,EMA,1.9154814583956448,28,6,27,1,5,0,4,72,0,FAIL
47,-0.30521600887618716,-0.13149660742304278,-0.05337785942266308,2023-11-29 20:39:06.764087,2023-11-29 20:39:07.018180,0 days 00:00:00.254093,1,2.7173332623471556,48,EMA,2.659360243877085,50,19,28,1,3,1,5,75,0,COMPLETE
48,,,,2023-11-29 20:39:07.019145,2023-11-29 20:39:07.273602,0 days 00:00:00.254457,2,2.5863345733798693,59,EMA,1.0452210714157326,50,14,22,2,5,1,5,73,0,FAIL
49,-0.44708916548934663,-0.19850888030803893,-0.35260886209773773,2023-11-29 20:39:07.275599,2023-11-29 20:39:07.531384,0 days 00:00:00.255785,0,1.1241724635534966,50,SMA,2.1637516475160252,43,5,28,2,4,0,4,81,0,COMPLETE
50,,,,2023-11-29 20:39:07.532383,2023-11-29 20:39:07.783859,0 days 00:00:00.251476,2,1.9467758393912988,59,SMA,2.107862150867576,42,20,28,2,5,2,3,86,0,FAIL
51,,,,2023-11-29 20:39:07.785855,2023-11-29 20:39:08.045225,0 days 00:00:00.259370,0,1.958768799525655,59,WMA,1.026370285842602,56,6,21,0,5,1,3,79,0,FAIL
