number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
46,0.658880175831937,0.3826660829226562,1.5216512147081138,2023-11-29 20:11:45.473552,2023-11-29 20:11:46.069435,0 days 00:00:00.595883,1,1.8234018746038403,18,EMA,1.5823439559310717,43,0,COMPLETE
47,-0.06479416221576974,-0.09529183118216196,-0.19376521766694965,2023-11-29 20:11:46.070470,2023-11-29 20:11:46.592283,0 days 00:00:00.521813,2,1.2598457124484415,33,WMA,2.6552300887661366,41,0,COMPLETE
48,,,,2023-11-29 20:11:46.593278,2023-11-29 20:11:46.696524,0 days 00:00:00.103246,0,1.6664659921869982,40,SMA,1.1433969307220166,34,0,FAIL
49,,,,2023-11-29 20:11:46.698517,2023-11-29 20:11:47.147412,0 days 00:00:00.448895,1,2.273886671452574,57,SMA,2.2518307647502986,45,0,FAIL
50,0.15150665939402078,-0.003555752258384952,-0.011243475185990661,2023-11-29 20:11:47.148441,2023-11-29 20:11:47.757274,0 days 00:00:00.608833,0,2.5684850673968658,14,WMA,1.345886370881095,35,0,COMPLETE
51,0.8702989562536566,0.8029961273602967,2.6373586828920796,2023-11-29 20:11:47.758272,2023-11-29 20:11:48.443407,0 days 00:00:00.685135,2,1.026622582410637,24,EMA,1.107741697118357,31,0,COMPLETE
52,0.9278410538849967,0.9969171685212977,2.656578852449562,2023-11-29 20:11:48.444718,2023-11-29 20:11:49.066732,0 days 00:00:00.622014,2,1.8317427653580092,14,SMA,2.4365025962454565,38,0,COMPLETE
53,-0.6478489581897141,-0.22552119407836113,-0.5592326904082289,2023-11-29 20:11:49.067726,2023-11-29 20:11:49.608570,0 days 00:00:00.540844,0,2.0535134405845206,43,SMA,2.946144138008474,40,0,COMPLETE
54,0.5169527228241797,0.4358204215241863,0.33714005359410665,2023-11-29 20:11:49.610564,2023-11-29 20:11:50.352206,0 days 00:00:00.741642,2,2.8052734453518045,25,SMA,2.5418402075425135,30,0,COMPLETE
55,0.06151987381641906,-0.04711523331757183,-0.10964014109212158,2023-11-29 20:11:50.353202,2023-11-29 20:11:50.925193,0 days 00:00:00.571991,1,1.7310156218294075,25,WMA,2.260606865191731,41,0,COMPLETE
56,0.6594124026804198,0.39148533595297813,1.2683840259927888,2023-11-29 20:11:50.927190,2023-11-29 20:11:51.463623,0 days 00:00:00.536433,1,1.7858315541646261,17,SMA,1.8013731785887028,59,0,COMPLETE
57,0.8760941508091266,0.5634526464727531,2.081809725487088,2023-11-29 20:11:51.464616,2023-11-29 20:11:52.136800,0 days 00:00:00.672184,0,2.4002209993949415,16,EMA,2.2238723783688106,45,0,COMPLETE
58,0.23014436467741728,0.0023741181975409616,0.00833591377647508,2023-11-29 20:11:52.138794,2023-11-29 20:11:52.838220,0 days 00:00:00.699426,1,1.793292427837067,30,SMA,1.3312735647544078,54,0,COMPLETE
59,0.16993512311806128,0.005676674318622782,0.012467229388619074,2023-11-29 20:11:52.839223,2023-11-29 20:11:53.820591,0 days 00:00:00.981368,2,2.3617660061716483,19,EMA,1.9802551399937491,16,0,COMPLETE
60,0.8029633791984131,0.7201320830621902,1.916469065700217,2023-11-29 20:11:53.822628,2023-11-29 20:11:54.679761,0 days 00:00:00.857133,1,1.0982249699721076,17,EMA,1.1544810312625282,36,0,COMPLETE
61,,,,2023-11-29 20:11:54.683794,2023-11-29 20:11:54.835494,0 days 00:00:00.151700,1,2.747890003622647,50,SMA,1.6583482114589738,28,0,FAIL
62,0.8118274418519812,0.5311773066230978,1.247744855225551,2023-11-29 20:11:54.837455,2023-11-29 20:11:55.843432,0 days 00:00:01.005977,0,2.084719296890812,23,EMA,1.7198227018691623,47,0,COMPLETE
63,,,,2023-11-29 20:11:55.844544,2023-11-29 20:11:56.900413,0 days 00:00:01.055869,0,1.7088487229177705,55,EMA,2.1174047664828626,19,1,FAIL
64,0.5130453155336915,0.27893438485729605,0.7801489378933146,2023-11-29 20:11:56.902409,2023-11-29 20:11:57.861911,0 days 00:00:00.959502,2,1.8833387247604287,23,WMA,1.4685158940992906,51,1,COMPLETE
65,-0.3622131661321615,-0.13832928808300296,-0.34618713636965553,2023-11-29 20:11:57.865143,2023-11-29 20:11:58.704056,0 days 00:00:00.838913,1,1.4080680566847275,17,SMA,2.558507656115279,11,1,COMPLETE
66,0.11042347491360278,-0.027268943239437876,-0.0929459913660149,2023-11-29 20:11:58.705563,2023-11-29 20:11:59.634208,0 days 00:00:00.928645,2,1.4236903654433875,58,EMA,2.215826415402817,57,1,COMPLETE
67,,,,2023-11-29 20:11:59.635205,2023-11-29 20:11:59.766988,0 days 00:00:00.131783,1,2.2382036450965885,28,WMA,1.1544810312625282,11,1,FAIL
68,,,,2023-11-29 20:11:59.768983,2023-11-29 20:11:59.903994,0 days 00:00:00.135011,1,2.8052734453518045,58,SMA,2.5418402075425135,30,1,FAIL
69,0.18439665956520981,0.06042233334005371,0.08743521690336976,2023-11-29 20:11:59.905955,2023-11-29 20:12:00.522549,0 days 00:00:00.616594,0,2.1008444004907907,31,EMA,2.668157948138396,40,1,COMPLETE
70,,,,2023-11-29 20:12:00.523547,2023-11-29 20:12:00.647213,0 days 00:00:00.123666,1,2.914332163791575,60,SMA,1.8013731785887028,10,1,FAIL
71,,,,2023-11-29 20:12:00.648103,2023-11-29 20:12:00.769763,0 days 00:00:00.121660,0,1.9328910010088742,55,SMA,1.2915299323379545,11,1,FAIL
72,,,,2023-11-29 20:12:00.771572,2023-11-29 20:12:01.330620,0 days 00:00:00.559048,2,2.901391715722947,50,SMA,2.750705268489706,30,1,FAIL
73,0.9335677334934674,0.9819248209374254,2.4079226087648244,2023-11-29 20:12:01.333612,2023-11-29 20:12:02.266840,0 days 00:00:00.933228,1,1.9418693743491882,17,WMA,1.7223010809529486,28,1,COMPLETE
74,0.10022600888710699,-0.02876788054818302,-0.04995910420151489,2023-11-29 20:12:02.268526,2023-11-29 20:12:02.859984,0 days 00:00:00.591458,1,1.4236903654433875,17,SMA,2.215826415402817,31,1,COMPLETE
75,0.6732405878722949,0.46840823137935966,1.3390519201085707,2023-11-29 20:12:02.860981,2023-11-29 20:12:03.463033,0 days 00:00:00.602052,1,1.7858315541646261,17,WMA,1.8013731785887028,10,1,COMPLETE
76,0.8190446427217294,0.8601715388593892,2.035830224166148,2023-11-29 20:12:03.464031,2023-11-29 20:12:04.015913,0 days 00:00:00.551882,0,1.721957407597513,31,WMA,1.8767446415698397,35,1,COMPLETE
77,-0.05098189114699453,-0.03419605529855542,-0.03038831741040198,2023-11-29 20:12:04.016708,2023-11-29 20:12:04.391378,0 days 00:00:00.374670,1,1.9439490511447943,59,WMA,2.482728460276244,57,1,COMPLETE
78,,,,2023-11-29 20:12:04.392375,2023-11-29 20:12:04.489662,0 days 00:00:00.097287,2,2.9823716739699826,58,EMA,2.8894693613418445,57,1,FAIL
