uid,from_uid,sharpe_ratio,profit factor,calmar_ratio,win rate,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s
496,,4.07929510566934,2.954813465672177,20.515475482822996,47.368421052631575,2.904835355710745,60,8,152
498,,3.859289595188254,2.464131411489004,16.249344280632833,42.5,2.8306414474751,60,8,140
499,,3.3368433619513955,1.8089138616348328,7.864325469929725,41.07142857142857,2.8834745634020846,48,8,72
502,,4.315483192703588,2.307513996150154,24.60822536244229,48.97959183673469,2.641842095188106,52,8,92
517,,4.315483192703588,2.307513996150154,24.60822536244229,48.97959183673469,2.8834745634020846,52,8,92
537,,4.3510219440389175,2.497152522504834,19.269661891154435,50,2.8834745634020846,52,8,104
538,,3.754932143629266,1.9500427835952625,14.07270165432552,44.44444444444444,2.7697551904484854,48,8,92
540,,3.754932143629266,1.9500427835952625,14.07270165432552,44.44444444444444,2.422627632274563,48,8,92
550,,3.3368433619513955,1.8089138616348328,7.864325469929725,41.07142857142857,2.5338040278789333,48,8,72
554,,3.9898479357292698,2.3236511827031205,20.24055878100403,45.83333333333333,2.4210592272768574,48,8,124
555,,3.459703926927044,1.9258121958805103,13.120945214591504,45.45454545454545,2.904835355710745,64,8,88
563,,4.315483192703588,2.307513996150154,24.60822536244229,48.97959183673469,2.641842095188106,52,8,92
590,,3.353203740829862,2.029308245280082,11.642881518149633,43.47826086956522,2.995500894740079,52,8,144
595,,4.15882679201282,2.618960768921884,24.200991836974712,46.80851063829788,2.467182800438116,48,8,148
600,,4.315483192703588,2.307513996150154,24.60822536244229,48.97959183673469,2.467182800438116,52,8,92
633,,3.3368433619513955,1.8089138616348328,7.864325469929725,41.07142857142857,2.5338040278789333,48,8,72
654,,4.315483192703588,2.307513996150154,24.60822536244229,48.97959183673469,2.8834745634020846,52,8,92
667,,4.964875641249786,2.982371201209184,19.72052548941767,51.16279069767442,2.5338040278789333,60,8,68
669,,4.315483192703588,2.307513996150154,24.60822536244229,48.97959183673469,2.8834745634020846,52,8,92
671,,4.677907454045332,2.650786804872777,27.73903721306485,48.07692307692308,2.467182800438116,48,8,104
675,,3.754932143629266,1.9500427835952625,14.07270165432552,44.44444444444444,2.4951966832434533,48,8,92
687,,4.211545014712188,2.449836290781912,18.736076466035627,47.91666666666667,2.467182800438116,52,8,108
709,,3.788562164857997,1.9504376102140812,16.739506887129654,42.5925925925926,2.467182800438116,48,8,96
725,,4.964875641249786,2.982371201209184,19.72052548941767,51.16279069767442,2.5338040278789333,60,8,68
732,,4.777982748313889,2.679884217164555,31.57836849419224,48.837209302325576,2.5338040278789333,60,8,88
734,,4.315483192703588,2.307513996150154,24.60822536244229,48.97959183673469,2.8834745634020846,52,8,92
741,,4.07929510566934,2.954813465672177,20.515475482822996,47.368421052631575,2.5338040278789333,60,8,152
757,,3.951301800143512,2.151309171842364,13.24231226218231,41.66666666666667,2.5338040278789333,56,8,72
770,,4.669212106905802,2.775446694161807,21.71226035896857,48.837209302325576,2.397060320123741,60,8,104
774,,4.777982748313889,2.679884217164555,31.57836849419224,48.837209302325576,2.5338040278789333,60,8,88
779,,3.481508141260355,1.8398947031444863,12.006559368596324,42.5925925925926,2.4200735711356405,48,8,88
803,,4.07929510566934,2.954813465672177,20.515475482822996,47.368421052631575,2.5338040278789333,60,8,152
806,,3.788562164857997,1.9504376102140812,16.739506887129654,42.5925925925926,2.8306414474751,48,8,96
819,,3.9898479357292698,2.3236511827031205,20.24055878100403,45.83333333333333,2.761397570548098,48,8,124
843,,4.23715520123201,2.634313416934444,18.56888394406657,43.90243902439025,2.4200735711356405,60,8,132
885,,4.06101795275277,2.572193537602254,18.466214870365327,45,2.5338040278789333,60,8,144
903,,4.06101795275277,2.572193537602254,18.466214870365327,45,2.467182800438116,60,8,144
914,,4.994968341201114,3.047495459221238,20.27574151564522,52.38095238095239,2.8919519707080057,60,8,64
936,,4.076895006153736,2.5041263997677703,16.820667962411108,41.86046511627907,2.926490751958012,60,8,116
955,,4.994968341201114,3.047495459221238,20.27574151564522,52.38095238095239,2.5338040278789333,60,8,64
961,,3.805818804634113,2.035093675480345,10.38157727809972,45.28301886792453,2.862011270681046,48,8,64
967,,4.06101795275277,2.572193537602254,18.466214870365327,45,2.6306113963197406,60,8,144
979,,4.166684673862348,2.4432311315196764,17.065686930975843,50,2.761397570548098,48,8,60
981,,4.07599297633578,2.457817763479917,17.169470521357006,41.46341463414634,2.915408458889308,60,8,124
989,,4.23715520123201,2.634313416934444,18.56888394406657,43.90243902439025,2.915408458889308,60,8,132
990,,4.994968341201114,3.047495459221238,20.27574151564522,52.38095238095239,2.8919519707080057,60,8,64
