uid,from_uid,value,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window
310,,4.051779540590863,60,8,36,120,68
311,,3.7681612993198,56,4,40,120,72
312,,4.391950886276888,64,4,36,120,68
314,,3.4540453523941403,64,8,32,120,64
316,,3.9700718375424495,64,4,36,120,64
317,,3.950289051604482,60,4,36,120,72
318,,3.841938964080676,56,8,36,120,68
320,,4.2639727766994255,56,4,40,120,68
321,,4.191888318477915,52,4,40,120,68
323,,3.617953861569354,56,4,36,120,64
325,,4.06191672478768,56,4,44,120,68
326,,3.768702794390562,56,8,40,120,68
328,,4.4322972054347805,64,4,40,120,68
329,,3.711948302506385,64,8,40,120,72
330,,3.9700718375424495,64,4,36,120,64
331,,4.4322972054347805,64,4,40,120,68
333,,3.8437247462517,64,4,44,120,64
334,,4.4322972054347805,64,4,40,120,68
335,,3.731209226530388,68,4,40,120,72
336,,4.4322972054347805,64,4,40,120,68
337,,2.71964828664774,64,8,44,120,68
338,,4.057901658315853,64,4,40,120,64
339,,4.4322972054347805,64,4,40,120,68
341,,4.147616299781392,64,4,44,120,68
342,,4.4322972054347805,64,4,40,120,68
343,,4.11109709844076,64,4,40,120,72
344,,2.71964828664774,64,8,44,120,68
345,,4.09204429593979,68,4,40,120,68
346,,4.057901658315853,64,4,40,120,64
347,,4.11109709844076,64,4,40,120,72
348,,2.586514223132681,68,24,44,144,68
350,,3.8859451537178207,64,8,40,120,64
351,,4.09204429593979,68,4,40,120,68
352,,2.737630546534095,64,4,44,120,44
354,,4.4322972054347805,64,4,40,120,68
355,,4.4322972054347805,64,4,40,120,68
356,,4.057901658315853,64,4,40,120,64
357,,2.579903033433277,64,8,68,120,68
359,,3.77196172743268,68,4,44,120,64
360,,4.11109709844076,64,4,40,120,72
362,,3.6093542263733434,68,8,40,120,68
364,,4.0135191330815445,64,8,40,120,68
365,,3.3499515530652992,68,4,40,120,64
367,,3.2030771707660373,36,4,40,120,72
370,,2.709599724230924,60,8,44,120,68
371,,4.11109709844076,64,4,40,120,72
374,,4.147616299781392,64,4,44,120,68
375,,4.391950886276888,64,4,36,120,68
376,,3.3893631007534224,68,8,36,120,72
377,,2.650334796290164,64,4,36,144,68
378,,3.9700718375424495,64,4,36,120,64
379,,3.5458886503342475,68,8,36,120,68
380,,4.11109709844076,64,4,40,120,72
381,,3.877780763733148,60,8,36,120,64
382,,4.391950886276888,64,4,36,120,68
383,,3.227455234179575,64,4,32,120,68
384,,3.227455234179575,64,4,32,120,68
385,,3.251356835348992,68,4,36,120,64
386,,2.64864468870933,64,20,36,120,72
387,,3.9608739174823087,64,8,36,120,68
388,,3.251356835348992,68,4,36,120,64
389,,4.383801129048291,60,4,36,120,68
390,,3.2224145791261947,60,4,32,120,68
391,,3.72890603339884,60,8,36,120,72
392,,4.391950886276888,64,4,36,120,68
395,,4.033594717200906,64,4,36,120,72
397,,4.0135191330815445,64,8,40,120,68
399,,4.4322972054347805,64,4,40,120,68
401,,3.8859451537178207,64,8,40,120,64
402,,4.09204429593979,68,4,40,120,68
403,,4.147616299781392,64,4,44,120,68
405,,4.057901658315853,64,4,40,120,64
406,,3.6093542263733434,68,8,40,120,68
407,,2.4735928541535737,64,4,40,120,48
408,,2.5803254180887363,60,4,44,144,68
409,,4.4322972054347805,64,4,40,120,68
412,,4.057901658315853,64,4,40,120,64
415,,4.11109709844076,64,4,40,120,72
417,,3.8859451537178207,64,8,40,120,64
418,,3.833784500393129,64,4,44,120,72
419,,4.4322972054347805,64,4,40,120,68
421,,4.4322972054347805,64,4,40,120,68
422,,3.8437247462517,64,4,44,120,64
423,,2.985694312931169,68,8,40,120,4
424,,4.11109709844076,64,4,40,120,72
425,,4.147616299781392,64,4,44,120,68
427,,4.4322972054347805,64,4,40,120,68
428,,3.359218509822089,68,4,44,144,64
429,,3.3467271669182987,68,8,40,120,72
430,,4.4322972054347805,64,4,40,120,68
431,,4.147616299781392,64,4,44,120,68
432,,3.8859451537178207,64,8,40,120,64
433,,4.4322972054347805,64,4,40,120,68
434,,3.811936768578881,68,4,44,120,68
435,,3.711948302506385,64,8,40,120,72
436,,3.3499515530652992,68,4,40,120,64
438,,4.4322972054347805,64,4,40,120,68
439,,2.577647161191232,64,4,44,144,68
440,,3.3467271669182987,68,8,40,120,72
441,,4.4322972054347805,64,4,40,120,68
442,,4.147616299781392,64,4,44,120,68
443,,4.4322972054347805,64,4,40,120,68
