number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
290,2.4911884416980397,3.098998195830596,12.882983586594982,31.25,2023-12-06 10:28:06.491853,2023-12-06 10:28:06.686538,0 days 00:00:00.194685,48,36,192,5,COMPLETE
291,2.017606255130378,2.4483422027964434,7.655329103147895,40.0,2023-12-06 10:28:06.687259,2023-12-06 10:28:06.878707,0 days 00:00:00.191448,56,40,216,5,COMPLETE
292,2.7224738434959272,3.1582663969616673,13.758291041920213,41.37931034482759,2023-12-06 10:28:06.879620,2023-12-06 10:28:07.074527,0 days 00:00:00.194907,48,56,216,5,COMPLETE
293,2.210377907281429,1.8974287051770053,8.659465904549501,35.714285714285715,2023-12-06 10:28:07.075341,2023-12-06 10:28:07.267620,0 days 00:00:00.192279,24,64,200,5,COMPLETE
294,2.2275029543050104,2.8466324859111247,8.690266317963657,29.166666666666668,2023-12-06 10:28:07.268306,2023-12-06 10:28:07.458119,0 days 00:00:00.189813,52,48,120,5,COMPLETE
295,2.248182961920513,2.620756255419968,11.33945239191616,44.44444444444444,2023-12-06 10:28:07.458807,2023-12-06 10:28:07.651734,0 days 00:00:00.192927,60,16,164,5,COMPLETE
296,2.429471278247247,3.1354849412604984,20.219866221009145,52.63157894736842,2023-12-06 10:28:07.652485,2023-12-06 10:28:07.843478,0 days 00:00:00.190993,68,12,140,5,COMPLETE
297,0.5683689039309949,1.169451219750934,1.0656859854785183,21.052631578947366,2023-12-06 10:28:07.844205,2023-12-06 10:28:08.034410,0 days 00:00:00.190205,48,36,16,5,COMPLETE
298,2.0726928709324177,2.1049965233562733,6.13435712379728,48.64864864864865,2023-12-06 10:28:08.035097,2023-12-06 10:28:08.226357,0 days 00:00:00.191260,52,20,216,5,COMPLETE
299,2.7072193146168595,2.2696027743529084,13.591191444252374,31.11111111111111,2023-12-06 10:28:08.227049,2023-12-06 10:28:08.417866,0 days 00:00:00.190817,28,68,132,5,COMPLETE
300,3.000549873821265,2.978150171658821,23.99277393010941,43.18181818181818,2023-12-06 10:28:08.418549,2023-12-06 10:28:08.609498,0 days 00:00:00.190949,52,12,92,5,COMPLETE
301,1.5236131845507537,1.5569844043832344,4.115389335911898,39.58333333333333,2023-12-06 10:28:08.610206,2023-12-06 10:28:08.799567,0 days 00:00:00.189361,28,20,192,5,COMPLETE
302,2.849722692126331,3.437197253498735,13.007704003634624,32.25806451612903,2023-12-06 10:28:08.800284,2023-12-06 10:28:08.991092,0 days 00:00:00.190808,48,56,188,5,COMPLETE
303,1.6821344248104848,2.150191739611337,5.338314285124064,40.0,2023-12-06 10:28:08.991838,2023-12-06 10:28:09.181649,0 days 00:00:00.189811,60,48,152,5,COMPLETE
304,1.9695974021448874,2.529285661312403,7.041797877542091,28.57142857142857,2023-12-06 10:28:09.182378,2023-12-06 10:28:09.375527,0 days 00:00:00.193149,52,64,92,5,COMPLETE
305,-0.8793844380955612,0.7413288721759862,-1.2702906984404703,30.555555555555557,2023-12-06 10:28:09.376307,2023-12-06 10:28:09.566905,0 days 00:00:00.190598,52,68,20,5,COMPLETE
306,2.9086152391767084,2.9140738037835874,25.940939414161015,45.45454545454545,2023-12-06 10:28:09.567612,2023-12-06 10:28:09.765389,0 days 00:00:00.197777,52,12,140,5,COMPLETE
307,-0.5261806999026976,0.8664291250994073,-0.9441988148070498,44.642857142857146,2023-12-06 10:28:09.766274,2023-12-06 10:28:09.966433,0 days 00:00:00.200159,44,20,36,5,COMPLETE
308,2.902649918599245,3.1737009102622524,21.187083075916917,42.10526315789473,2023-12-06 10:28:09.967334,2023-12-06 10:28:10.194409,0 days 00:00:00.227075,52,24,140,6,COMPLETE
309,2.1080120849765773,2.5568098847631013,7.81131045689035,25.0,2023-12-06 10:28:10.195149,2023-12-06 10:28:10.390992,0 days 00:00:00.195843,52,68,92,6,COMPLETE
310,2.671844050334339,3.2107168527450383,16.64937545226581,40.54054054054054,2023-12-06 10:28:10.391785,2023-12-06 10:28:10.599179,0 days 00:00:00.207394,8,20,140,6,COMPLETE
311,1.9661849081336613,1.786971510510865,10.604073093884475,37.03703703703704,2023-12-06 10:28:10.600250,2023-12-06 10:28:10.794451,0 days 00:00:00.194201,28,20,140,6,COMPLETE
312,2.502597348113438,2.6123693867539854,10.673336325402794,38.88888888888889,2023-12-06 10:28:10.795175,2023-12-06 10:28:10.983703,0 days 00:00:00.188528,36,52,188,6,COMPLETE
313,3.1810146022466466,3.570060811168316,23.904755814019936,35.8974358974359,2023-12-06 10:28:10.984474,2023-12-06 10:28:11.174379,0 days 00:00:00.189905,8,8,92,6,COMPLETE
314,2.784472415306269,3.137632186409363,11.34832112223504,31.25,2023-12-06 10:28:11.175094,2023-12-06 10:28:11.369779,0 days 00:00:00.194685,44,56,188,6,COMPLETE
315,1.675441023850328,1.9541939597871103,7.77714063433587,25.0,2023-12-06 10:28:11.370665,2023-12-06 10:28:11.560350,0 days 00:00:00.189685,52,44,4,6,COMPLETE
316,3.440398558041109,4.2680122361989055,28.075700071868145,41.66666666666667,2023-12-06 10:28:11.561032,2023-12-06 10:28:11.750146,0 days 00:00:00.189114,8,20,192,6,COMPLETE
317,1.7038235890646207,2.011283810608568,11.219590187587544,35.55555555555556,2023-12-06 10:28:11.750847,2023-12-06 10:28:11.940591,0 days 00:00:00.189744,8,8,60,6,COMPLETE
318,3.0678323469986992,3.913588364126334,16.199437142137246,44.827586206896555,2023-12-06 10:28:11.941362,2023-12-06 10:28:12.130976,0 days 00:00:00.189614,48,68,148,6,COMPLETE
319,3.2469119783729568,4.3091191387919885,27.85356400563201,50.0,2023-12-06 10:28:12.131754,2023-12-06 10:28:12.321033,0 days 00:00:00.189279,48,20,188,6,COMPLETE
320,3.440398558041109,4.2680122361989055,28.075700071868145,41.66666666666667,2023-12-06 10:28:12.321728,2023-12-06 10:28:12.524482,0 days 00:00:00.202754,8,20,192,6,COMPLETE
321,2.6921086201695887,3.2022017197477313,11.684072164000618,36.36363636363637,2023-12-06 10:28:12.525244,2023-12-06 10:28:12.713146,0 days 00:00:00.187902,48,52,168,6,COMPLETE
322,2.47672368824732,2.229539611032546,17.477604833082545,37.254901960784316,2023-12-06 10:28:12.713852,2023-12-06 10:28:12.903297,0 days 00:00:00.189445,32,12,140,6,COMPLETE
323,3.1696418372389745,3.6935443095231935,24.891578227687184,48.717948717948715,2023-12-06 10:28:12.904059,2023-12-06 10:28:13.094949,0 days 00:00:00.190890,48,20,112,6,COMPLETE
324,,,,,2023-12-06 10:28:13.095668,2023-12-06 10:28:13.287592,0 days 00:00:00.191924,8,4,4,6,FAIL
325,2.339376184270339,2.232397885783401,7.932025889851391,47.5,2023-12-06 10:28:13.288661,2023-12-06 10:28:13.478443,0 days 00:00:00.189782,48,12,192,6,COMPLETE
326,4.020443204977161,4.01041237565663,67.27639878824924,48.78048780487805,2023-12-06 10:28:13.479137,2023-12-06 10:28:13.668577,0 days 00:00:00.189440,48,4,100,6,COMPLETE
327,-1.0437965031972722,0.6144975435590546,-1.6096577832174839,25.0,2023-12-06 10:28:13.669285,2023-12-06 10:28:13.857942,0 days 00:00:00.188657,48,56,52,6,COMPLETE
328,1.97982577001874,2.925457760533214,8.160906528873804,50.0,2023-12-06 10:28:13.858775,2023-12-06 10:28:14.048877,0 days 00:00:00.190102,64,28,204,6,COMPLETE
329,3.079594587172753,3.339860658630294,25.648875664784274,48.717948717948715,2023-12-06 10:28:14.049619,2023-12-06 10:28:14.236976,0 days 00:00:00.187357,48,20,164,6,COMPLETE
330,2.355231918894184,2.908268077558483,13.685446659829337,42.10526315789473,2023-12-06 10:28:14.237672,2023-12-06 10:28:14.429048,0 days 00:00:00.191376,8,20,112,6,COMPLETE
331,1.7265371200980204,1.7069794318643357,13.061205299312322,45.09803921568628,2023-12-06 10:28:14.429744,2023-12-06 10:28:14.619828,0 days 00:00:00.190084,60,12,60,6,COMPLETE
332,-2.9099804613858034,0.4717196824059819,-2.5242297850715296,29.82456140350877,2023-12-06 10:28:14.620571,2023-12-06 10:28:14.812803,0 days 00:00:00.192232,72,20,32,6,COMPLETE
333,2.6693320783203554,3.216104276691097,19.00699301351527,45.94594594594595,2023-12-06 10:28:14.813589,2023-12-06 10:28:15.004254,0 days 00:00:00.190665,8,12,140,6,COMPLETE
334,2.2725750547989323,4.181656458492476,11.063702284647595,54.83870967741935,2023-12-06 10:28:15.005022,2023-12-06 10:28:15.200387,0 days 00:00:00.195365,68,20,204,6,COMPLETE
335,2.1045542711806977,2.045640283724961,6.84315822453336,45.23809523809524,2023-12-06 10:28:15.201197,2023-12-06 10:28:15.394885,0 days 00:00:00.193688,52,12,192,6,COMPLETE
336,2.7271698063158234,4.301308081715012,20.084038392154874,60.60606060606061,2023-12-06 10:28:15.395720,2023-12-06 10:28:15.589842,0 days 00:00:00.194122,64,12,204,6,COMPLETE
337,2.4125130562556145,3.3009486535485273,16.520279539744788,47.22222222222222,2023-12-06 10:28:15.590692,2023-12-06 10:28:15.946379,0 days 00:00:00.355687,68,20,140,6,COMPLETE
338,2.204269492322666,2.9442241006622853,9.375192172467269,34.48275862068966,2023-12-06 10:28:15.947090,2023-12-06 10:28:16.138577,0 days 00:00:00.191487,68,56,204,6,COMPLETE
339,,,,,2023-12-06 10:28:16.139525,2023-12-06 10:28:16.338299,0 days 00:00:00.198774,4,44,48,6,FAIL
340,2.9086152391767084,2.9140738037835874,25.940939414161015,45.45454545454545,2023-12-06 10:28:16.339359,2023-12-06 10:28:16.540249,0 days 00:00:00.200890,52,12,140,6,COMPLETE
341,2.517606185477798,2.5266916436129168,11.437530288070443,38.46153846153847,2023-12-06 10:28:16.541105,2023-12-06 10:28:16.734700,0 days 00:00:00.193595,36,52,168,6,COMPLETE
342,2.687454096924749,3.187970683980032,22.525656610240095,44.44444444444444,2023-12-06 10:28:16.735463,2023-12-06 10:28:16.921945,0 days 00:00:00.186482,60,8,108,6,COMPLETE
343,3.222300744196469,3.893623164005527,21.31764730466948,36.36363636363637,2023-12-06 10:28:16.922637,2023-12-06 10:28:17.115865,0 days 00:00:00.193228,8,68,108,6,COMPLETE
344,-3.9494031412254604,0.2899143639121265,-2.6412893338424324,25.0,2023-12-06 10:28:17.116859,2023-12-06 10:28:17.310337,0 days 00:00:00.193478,48,40,32,6,COMPLETE
345,3.7465555803215045,4.204287724820257,27.803475062624166,45.16129032258064,2023-12-06 10:28:17.311033,2023-12-06 10:28:17.504244,0 days 00:00:00.193211,8,56,172,6,COMPLETE
346,2.6693320783203554,3.216104276691097,19.00699301351527,45.94594594594595,2023-12-06 10:28:17.505014,2023-12-06 10:28:17.702707,0 days 00:00:00.197693,8,12,140,6,COMPLETE
347,2.8459028244171423,2.083458123914114,19.502990058994182,36.666666666666664,2023-12-06 10:28:17.703467,2023-12-06 10:28:17.899121,0 days 00:00:00.195654,24,20,92,6,COMPLETE
348,3.0121010276567604,3.7719886709662886,19.03084400067729,35.294117647058826,2023-12-06 10:28:17.899903,2023-12-06 10:28:18.097606,0 days 00:00:00.197703,8,36,184,6,COMPLETE
349,3.218181281343921,3.4828708461194413,32.05644465025067,53.48837209302325,2023-12-06 10:28:18.098491,2023-12-06 10:28:18.295488,0 days 00:00:00.196997,44,12,136,6,COMPLETE
350,2.586137743446337,3.0683705997631576,18.90526428391004,46.15384615384615,2023-12-06 10:28:18.296255,2023-12-06 10:28:18.489138,0 days 00:00:00.192883,68,20,84,6,COMPLETE
351,2.3951764829159234,2.7497270182446503,14.260209474083945,36.84210526315789,2023-12-06 10:28:18.490102,2023-12-06 10:28:18.680819,0 days 00:00:00.190717,8,8,100,6,COMPLETE
352,2.460770028692985,3.8266909566374534,13.13319275007424,46.875,2023-12-06 10:28:18.681698,2023-12-06 10:28:18.874469,0 days 00:00:00.192771,64,36,212,6,COMPLETE
353,2.244034021323327,3.2005093817961474,15.236804752788425,48.57142857142857,2023-12-06 10:28:18.875233,2023-12-06 10:28:19.068712,0 days 00:00:00.193479,68,28,152,6,COMPLETE
354,3.2109572818822865,2.973828608959427,24.910534308134082,42.5531914893617,2023-12-06 10:28:19.069564,2023-12-06 10:28:19.262283,0 days 00:00:00.192719,24,20,200,6,COMPLETE
355,3.279240141160736,3.161804329876083,35.86574809025167,42.10526315789473,2023-12-06 10:28:19.263286,2023-12-06 10:28:19.457095,0 days 00:00:00.193809,8,4,108,6,COMPLETE
356,2.4125130562556145,3.3009486535485273,16.520279539744788,47.22222222222222,2023-12-06 10:28:19.457818,2023-12-06 10:28:19.652861,0 days 00:00:00.195043,68,20,140,6,COMPLETE
357,2.2256004582429485,2.3163445965479186,6.587059043124087,43.24324324324324,2023-12-06 10:28:19.653708,2023-12-06 10:28:19.844304,0 days 00:00:00.190596,48,20,200,6,COMPLETE
358,2.18297254913583,1.6762942423674128,10.335280764344013,33.87096774193548,2023-12-06 10:28:19.845021,2023-12-06 10:28:20.041758,0 days 00:00:00.196737,12,20,188,6,COMPLETE
359,2.778787125344967,3.0636340775905717,21.226786530128773,45.0,2023-12-06 10:28:20.042534,2023-12-06 10:28:20.234013,0 days 00:00:00.191479,64,12,84,6,COMPLETE
360,,,,,2023-12-06 10:28:20.234791,2023-12-06 10:28:20.457906,0 days 00:00:00.223115,4,44,164,7,FAIL
361,3.513560420504682,3.8588906248283874,37.16772723285656,51.21951219512195,2023-12-06 10:28:20.459192,2023-12-06 10:28:20.654907,0 days 00:00:00.195715,48,12,164,7,COMPLETE
362,3.3876011524282803,3.8536084299969273,32.634657053961675,47.61904761904761,2023-12-06 10:28:20.655662,2023-12-06 10:28:20.850673,0 days 00:00:00.195011,52,12,120,7,COMPLETE
363,2.8864754505521635,3.2694566347444876,19.230931894683323,38.88888888888889,2023-12-06 10:28:20.851450,2023-12-06 10:28:21.039287,0 days 00:00:00.187837,8,12,180,7,COMPLETE
364,2.801562998552927,3.4920785402440853,13.610667503500654,42.42424242424242,2023-12-06 10:28:21.040163,2023-12-06 10:28:21.229172,0 days 00:00:00.189009,48,44,188,7,COMPLETE
365,3.0782266746828153,3.340209257230038,22.957515167454154,37.83783783783784,2023-12-06 10:28:21.229866,2023-12-06 10:28:21.421344,0 days 00:00:00.191478,8,20,168,7,COMPLETE
366,-1.284908603215559,0.6340848969933105,-1.4601617409910745,29.72972972972973,2023-12-06 10:28:21.422083,2023-12-06 10:28:21.612919,0 days 00:00:00.190836,48,64,36,7,COMPLETE
367,2.807328806325395,3.198997711765378,20.51815247930473,41.02564102564102,2023-12-06 10:28:21.613671,2023-12-06 10:28:21.802450,0 days 00:00:00.188779,60,8,92,7,COMPLETE
368,2.9286141570888495,2.916283360569936,22.491973163804154,30.555555555555557,2023-12-06 10:28:21.803157,2023-12-06 10:28:21.995208,0 days 00:00:00.192051,8,8,172,7,COMPLETE
369,3.440608784379461,3.8116022245202803,23.58592900578231,37.5,2023-12-06 10:28:21.995974,2023-12-06 10:28:22.185200,0 days 00:00:00.189226,8,68,140,7,COMPLETE
370,3.2350803094858374,3.011528374607371,31.18925777166954,48.837209302325576,2023-12-06 10:28:22.185899,2023-12-06 10:28:22.377448,0 days 00:00:00.191549,72,4,108,7,COMPLETE
371,1.8021328209023117,1.6402557823958375,6.241544698719542,38.775510204081634,2023-12-06 10:28:22.378339,2023-12-06 10:28:22.566920,0 days 00:00:00.188581,28,8,212,7,COMPLETE
372,3.130349945985742,4.281442981711142,18.887220564232603,35.483870967741936,2023-12-06 10:28:22.567635,2023-12-06 10:28:22.758317,0 days 00:00:00.190682,8,28,192,7,COMPLETE
373,2.072144225812909,3.5487702653570494,9.67852844571637,40.909090909090914,2023-12-06 10:28:22.759037,2023-12-06 10:28:22.946328,0 days 00:00:00.187291,64,52,120,7,COMPLETE
374,1.7640483346701792,1.8917558854353191,6.950250646102264,28.205128205128204,2023-12-06 10:28:22.947154,2023-12-06 10:28:23.136106,0 days 00:00:00.188952,8,36,92,7,COMPLETE
375,2.3087105974694957,2.378831056534827,12.464281162161718,50.0,2023-12-06 10:28:23.136865,2023-12-06 10:28:23.325645,0 days 00:00:00.188780,48,36,64,7,COMPLETE
376,2.1472968102734313,2.5448255024611894,9.834505012664556,37.5,2023-12-06 10:28:23.326376,2023-12-06 10:28:23.517419,0 days 00:00:00.191043,60,32,140,7,COMPLETE
377,3.1160548256012324,4.187297608552559,22.043846031875404,38.70967741935484,2023-12-06 10:28:23.518155,2023-12-06 10:28:23.705389,0 days 00:00:00.187234,8,20,204,7,COMPLETE
378,2.2077105651281066,2.2127830919625824,7.87736013512112,36.11111111111111,2023-12-06 10:28:23.706303,2023-12-06 10:28:23.894935,0 days 00:00:00.188632,32,48,140,7,COMPLETE
379,2.1645421614369083,2.139446208402716,6.949865963748236,47.22222222222222,2023-12-06 10:28:23.895676,2023-12-06 10:28:24.084139,0 days 00:00:00.188463,48,20,192,7,COMPLETE
380,2.9880325647112302,3.3331640158969784,18.079903913564657,44.11764705882353,2023-12-06 10:28:24.084853,2023-12-06 10:28:24.273359,0 days 00:00:00.188506,8,56,108,7,COMPLETE
381,2.468783502224615,2.7308684227745244,13.294639363934241,44.73684210526316,2023-12-06 10:28:24.274062,2023-12-06 10:28:24.464421,0 days 00:00:00.190359,72,20,164,7,COMPLETE
382,3.1980606441105204,4.4315463070652275,20.058566608357182,40.625,2023-12-06 10:28:24.465212,2023-12-06 10:28:24.665875,0 days 00:00:00.200663,8,20,200,7,COMPLETE
383,3.0854318170505155,4.152391861840135,24.570468433910673,48.64864864864865,2023-12-06 10:28:24.666740,2023-12-06 10:28:24.912463,0 days 00:00:00.245723,48,24,108,7,COMPLETE
384,2.8702342918864066,3.134529238963142,22.34865588073339,45.0,2023-12-06 10:28:24.915406,2023-12-06 10:28:25.141008,0 days 00:00:00.225602,48,20,124,7,COMPLETE
385,3.119748417910872,3.244646147468441,25.59937057640082,48.78048780487805,2023-12-06 10:28:25.142349,2023-12-06 10:28:25.342065,0 days 00:00:00.199716,44,20,140,7,COMPLETE
386,1.097157786686303,1.3252999252282462,2.2288784951090013,24.528301886792452,2023-12-06 10:28:25.343003,2023-12-06 10:28:25.538508,0 days 00:00:00.195505,20,52,140,7,COMPLETE
387,3.119748417910872,3.244646147468441,25.59937057640082,48.78048780487805,2023-12-06 10:28:25.539347,2023-12-06 10:28:25.729616,0 days 00:00:00.190269,44,20,140,7,COMPLETE
388,3.187581654822952,3.4427397119980663,23.36114898931634,33.33333333333333,2023-12-06 10:28:25.730732,2023-12-06 10:28:25.922344,0 days 00:00:00.191612,8,28,140,7,COMPLETE
389,2.651503370692075,2.4165907075176274,10.725080781010064,51.21951219512195,2023-12-06 10:28:25.923106,2023-12-06 10:28:26.116188,0 days 00:00:00.193082,44,12,164,7,COMPLETE
390,3.3398969406136616,2.901422593747822,40.0075981223012,44.44444444444444,2023-12-06 10:28:26.116999,2023-12-06 10:28:26.308787,0 days 00:00:00.191788,56,4,92,7,COMPLETE
391,2.536095462507216,3.1636270533257926,15.40395236288505,44.73684210526316,2023-12-06 10:28:26.309686,2023-12-06 10:28:26.501239,0 days 00:00:00.191553,8,20,120,7,COMPLETE
392,1.8553854409573862,2.371791581360321,9.40758327814065,44.73684210526316,2023-12-06 10:28:26.502167,2023-12-06 10:28:26.693386,0 days 00:00:00.191219,68,20,152,7,COMPLETE
393,2.7112547359378554,3.003853580912311,16.022153145623477,44.73684210526316,2023-12-06 10:28:26.694166,2023-12-06 10:28:26.880768,0 days 00:00:00.186602,8,68,88,7,COMPLETE
394,2.2832796965419657,2.218946856145454,6.852170315630407,51.28205128205128,2023-12-06 10:28:26.881781,2023-12-06 10:28:27.073426,0 days 00:00:00.191645,44,20,212,7,COMPLETE
395,3.197499955958092,3.0302426819860857,25.93351151842614,43.47826086956522,2023-12-06 10:28:27.074220,2023-12-06 10:28:27.262506,0 days 00:00:00.188286,52,12,84,7,COMPLETE
396,1.910889915555641,2.8918660314296827,8.808282189969539,45.16129032258064,2023-12-06 10:28:27.263230,2023-12-06 10:28:27.451422,0 days 00:00:00.188192,68,36,216,7,COMPLETE
397,-1.625993188613056,0.430068238699329,-2.8946589829420204,32.0,2023-12-06 10:28:27.452214,2023-12-06 10:28:27.796534,0 days 00:00:00.344320,72,56,28,7,COMPLETE
398,3.362232562929798,3.769471803446268,23.60204814681584,41.17647058823529,2023-12-06 10:28:27.797410,2023-12-06 10:28:27.995770,0 days 00:00:00.198360,8,48,192,7,COMPLETE
399,1.7064201925331988,1.4304742471863012,7.58328803752841,33.84615384615385,2023-12-06 10:28:27.996565,2023-12-06 10:28:28.194738,0 days 00:00:00.198173,12,12,204,7,COMPLETE
400,3.1696418372389745,3.6935443095231935,24.891578227687184,48.717948717948715,2023-12-06 10:28:28.195524,2023-12-06 10:28:28.390604,0 days 00:00:00.195080,48,20,112,7,COMPLETE
401,3.486614996707493,4.524638244746597,24.205194104287937,39.39393939393939,2023-12-06 10:28:28.391493,2023-12-06 10:28:28.590495,0 days 00:00:00.199002,8,72,108,7,COMPLETE
402,2.758832530031833,3.1429462158511265,10.7367902131484,26.666666666666668,2023-12-06 10:28:28.591420,2023-12-06 10:28:28.786754,0 days 00:00:00.195334,52,56,164,7,COMPLETE
403,2.2725750547989323,4.181656458492476,11.063702284647595,54.83870967741935,2023-12-06 10:28:28.787544,2023-12-06 10:28:28.985011,0 days 00:00:00.197467,68,20,204,7,COMPLETE
404,1.857871001982653,1.777206861632732,5.780309959485513,42.857142857142854,2023-12-06 10:28:28.985767,2023-12-06 10:28:29.182550,0 days 00:00:00.196783,36,20,192,7,COMPLETE
405,2.274034979847543,3.10285626546564,10.080576575868461,40.0,2023-12-06 10:28:29.183432,2023-12-06 10:28:29.377058,0 days 00:00:00.193626,68,68,168,7,COMPLETE
406,1.8755581811911317,1.769712465630049,5.501374181004276,51.02040816326531,2023-12-06 10:28:29.377805,2023-12-06 10:28:29.570741,0 days 00:00:00.192936,44,20,72,7,COMPLETE
407,2.7782736458496475,3.9027189628850434,23.793937461607307,50.0,2023-12-06 10:28:29.571521,2023-12-06 10:28:29.765313,0 days 00:00:00.193792,64,8,124,7,COMPLETE
408,3.2995266772669747,3.7881113173174388,24.798731935053905,48.717948717948715,2023-12-06 10:28:29.766094,2023-12-06 10:28:29.958361,0 days 00:00:00.192267,48,20,108,7,COMPLETE
409,2.7712940344618375,2.8622554396693474,18.117610332883277,42.5531914893617,2023-12-06 10:28:29.959163,2023-12-06 10:28:30.152695,0 days 00:00:00.193532,28,20,188,7,COMPLETE
410,2.8635492209668665,3.677349478655092,16.070511897133997,40.625,2023-12-06 10:28:30.153728,2023-12-06 10:28:30.344627,0 days 00:00:00.190899,48,68,164,7,COMPLETE
411,2.6627038621044585,2.2914299977599097,11.66049966306003,43.47826086956522,2023-12-06 10:28:30.345412,2023-12-06 10:28:30.562327,0 days 00:00:00.216915,44,12,84,8,COMPLETE
412,3.471600184698585,3.89852517519384,35.568459759982225,46.34146341463415,2023-12-06 10:28:30.563054,2023-12-06 10:28:30.757269,0 days 00:00:00.194215,48,12,120,8,COMPLETE
413,3.0948852914093177,3.4940445168718424,23.175332443105845,37.83783783783784,2023-12-06 10:28:30.758141,2023-12-06 10:28:30.954209,0 days 00:00:00.196068,8,20,172,8,COMPLETE
414,1.698697852236146,1.6604990270995188,5.357464390893078,23.91304347826087,2023-12-06 10:28:30.954980,2023-12-06 10:28:31.148119,0 days 00:00:00.193139,28,68,112,8,COMPLETE
415,3.3663456881737064,3.800790141230929,23.179148335894,35.294117647058826,2023-12-06 10:28:31.149025,2023-12-06 10:28:31.346152,0 days 00:00:00.197127,8,52,196,8,COMPLETE
416,2.2725750547989323,4.181656458492476,11.063702284647595,54.83870967741935,2023-12-06 10:28:31.346942,2023-12-06 10:28:31.542192,0 days 00:00:00.195250,68,20,204,8,COMPLETE
417,3.2995266772669747,3.7881113173174388,24.798731935053905,48.717948717948715,2023-12-06 10:28:31.542993,2023-12-06 10:28:31.734821,0 days 00:00:00.191828,48,20,108,8,COMPLETE
418,-0.5176746858443205,0.7966417707128314,-0.9420234386840495,28.205128205128204,2023-12-06 10:28:31.735685,2023-12-06 10:28:31.934058,0 days 00:00:00.198373,48,24,8,8,COMPLETE
419,3.6014666217218565,4.386936597883766,38.34749703907834,47.61904761904761,2023-12-06 10:28:31.934857,2023-12-06 10:28:32.133142,0 days 00:00:00.198285,48,12,108,8,COMPLETE
420,-1.459654633348258,0.5121229585841759,-2.7682004285517667,27.659574468085108,2023-12-06 10:28:32.134079,2023-12-06 10:28:32.324731,0 days 00:00:00.190652,8,4,36,8,COMPLETE
421,1.8706266657564674,1.7642838140748063,5.58801251779238,48.97959183673469,2023-12-06 10:28:32.325532,2023-12-06 10:28:32.518436,0 days 00:00:00.192904,48,20,68,8,COMPLETE
422,2.199137104094018,3.714797135728126,10.642540897070512,50.0,2023-12-06 10:28:32.519311,2023-12-06 10:28:32.710605,0 days 00:00:00.191294,68,20,200,8,COMPLETE
423,2.1002969475636943,3.446484080709905,10.58437350815606,53.333333333333336,2023-12-06 10:28:32.711318,2023-12-06 10:28:32.907238,0 days 00:00:00.195920,68,32,212,8,COMPLETE
424,3.3505197954479127,3.8103379617176287,33.45799741632929,46.34146341463415,2023-12-06 10:28:32.908062,2023-12-06 10:28:33.106871,0 days 00:00:00.198809,44,12,116,8,COMPLETE
425,2.4933566535580844,3.238305855587188,13.121988654743175,44.11764705882353,2023-12-06 10:28:33.107736,2023-12-06 10:28:33.304109,0 days 00:00:00.196373,56,20,188,8,COMPLETE
426,2.764621086964807,3.029337834472465,18.018946239565018,35.13513513513514,2023-12-06 10:28:33.304911,2023-12-06 10:28:33.500249,0 days 00:00:00.195338,8,12,184,8,COMPLETE
427,1.939330328176146,1.6442471372737555,8.189837833627271,33.33333333333333,2023-12-06 10:28:33.501185,2023-12-06 10:28:33.694287,0 days 00:00:00.193102,16,20,184,8,COMPLETE
428,0.40516160650774674,1.0895914214588418,0.6593320435780956,34.21052631578947,2023-12-06 10:28:33.695151,2023-12-06 10:28:33.892527,0 days 00:00:00.197376,48,72,56,8,COMPLETE
429,3.2995266772669747,3.7881113173174388,24.798731935053905,48.717948717948715,2023-12-06 10:28:33.893491,2023-12-06 10:28:34.092663,0 days 00:00:00.199172,48,20,108,8,COMPLETE
430,2.169239928802312,2.7272986246245288,8.755364111826285,20.833333333333336,2023-12-06 10:28:34.093506,2023-12-06 10:28:34.286372,0 days 00:00:00.192866,48,64,108,8,COMPLETE
431,3.2804661483381983,3.1239461263440678,33.19254983592696,48.888888888888886,2023-12-06 10:28:34.287137,2023-12-06 10:28:34.478650,0 days 00:00:00.191513,72,4,104,8,COMPLETE
432,0.6422949210678964,1.2035758162445196,1.5320779192671823,33.33333333333333,2023-12-06 10:28:34.479433,2023-12-06 10:28:34.667564,0 days 00:00:00.188131,48,68,56,8,COMPLETE
433,2.714940817056317,2.5327665317706853,23.575347032062577,43.58974358974359,2023-12-06 10:28:34.668291,2023-12-06 10:28:34.858982,0 days 00:00:00.190691,8,4,100,8,COMPLETE
434,2.2333631033284105,2.2510287027958134,6.628406451420065,48.717948717948715,2023-12-06 10:28:34.859729,2023-12-06 10:28:35.055894,0 days 00:00:00.196165,48,20,212,8,COMPLETE
435,2.8362683005109566,2.95063969775979,16.142447242721484,34.375,2023-12-06 10:28:35.056790,2023-12-06 10:28:35.252217,0 days 00:00:00.195427,8,32,152,8,COMPLETE
436,1.8366686459954429,2.9072177865307873,6.762180082857357,31.818181818181817,2023-12-06 10:28:35.253034,2023-12-06 10:28:35.448380,0 days 00:00:00.195346,64,56,124,8,COMPLETE
