number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
63,1.4469423015445584,1.8161514286114726,3.423807765000893,37.03703703703704,2023-12-06 10:27:21.190450,2023-12-06 10:27:21.378671,0 days 00:00:00.188221,72,72,212,1,COMPLETE
64,2.2913814776449923,2.64380213245811,10.291692935168557,31.428571428571427,2023-12-06 10:27:21.379310,2023-12-06 10:27:21.566171,0 days 00:00:00.186861,52,40,152,1,COMPLETE
65,3.183600375976982,3.3421602514847413,31.699655099220678,51.162790697674424,2023-12-06 10:27:21.566917,2023-12-06 10:27:21.753895,0 days 00:00:00.186978,44,12,140,1,COMPLETE
66,2.2827763639443552,2.8052615763952877,10.772928810151654,38.46153846153847,2023-12-06 10:27:21.754558,2023-12-06 10:27:21.939842,0 days 00:00:00.185284,8,56,88,1,COMPLETE
67,1.5967266282561254,2.0003818889713787,7.7569861716037956,38.46153846153847,2023-12-06 10:27:21.940499,2023-12-06 10:27:22.126919,0 days 00:00:00.186420,64,56,60,1,COMPLETE
68,2.714940817056317,2.5327665317706853,23.575347032062577,43.58974358974359,2023-12-06 10:27:22.127567,2023-12-06 10:27:22.311268,0 days 00:00:00.183701,8,4,100,1,COMPLETE
69,3.2215805439125877,3.5120338944629426,25.95928242424186,37.142857142857146,2023-12-06 10:27:22.311885,2023-12-06 10:27:22.499556,0 days 00:00:00.187671,8,8,188,1,COMPLETE
70,-2.5156252970594903,0.552949023507422,-2.844700049633298,28.35820895522388,2023-12-06 10:27:22.500258,2023-12-06 10:27:22.685930,0 days 00:00:00.185672,40,4,36,1,COMPLETE
71,2.299959834788672,2.6558787652190095,11.951235250997756,38.88888888888889,2023-12-06 10:27:22.686537,2023-12-06 10:27:22.871720,0 days 00:00:00.185183,48,36,184,1,COMPLETE
72,2.5508437446214924,2.467003423908873,9.774036909031382,37.142857142857146,2023-12-06 10:27:22.872369,2023-12-06 10:27:23.057086,0 days 00:00:00.184717,40,56,200,1,COMPLETE
73,0.8339852638299284,1.2081191535064282,1.3873248875161106,34.61538461538461,2023-12-06 10:27:23.057873,2023-12-06 10:27:23.244399,0 days 00:00:00.186526,12,72,200,1,COMPLETE
74,1.8197896760466314,1.7707511785631864,6.01726061570677,24.390243902439025,2023-12-06 10:27:23.245068,2023-12-06 10:27:23.431151,0 days 00:00:00.186083,28,56,132,1,COMPLETE
75,2.3891903124617335,2.288582988470186,9.208412296357269,46.666666666666664,2023-12-06 10:27:23.431851,2023-12-06 10:27:23.629244,0 days 00:00:00.197393,52,4,152,1,COMPLETE
76,1.7843574265687263,1.6172580943069554,5.96656964557735,38.0,2023-12-06 10:27:23.629924,2023-12-06 10:27:23.815698,0 days 00:00:00.185774,32,8,172,1,COMPLETE
77,2.229422673924635,2.6061672995094503,8.413806915962262,42.857142857142854,2023-12-06 10:27:23.816326,2023-12-06 10:27:24.003212,0 days 00:00:00.186886,72,32,152,1,COMPLETE
78,0.6138503815227258,1.1464921227663443,1.7403242164712052,32.25806451612903,2023-12-06 10:27:24.003836,2023-12-06 10:27:24.190776,0 days 00:00:00.186940,20,48,72,1,COMPLETE
79,2.4994005800633134,3.0595773928032974,9.563065588073183,29.166666666666668,2023-12-06 10:27:24.191498,2023-12-06 10:27:24.379074,0 days 00:00:00.187576,52,56,140,1,COMPLETE
80,1.2412711406385464,1.5862415547856625,3.393245496857903,29.72972972972973,2023-12-06 10:27:24.379716,2023-12-06 10:27:24.565096,0 days 00:00:00.185380,36,56,92,1,COMPLETE
81,-2.7494966831497125,0.5951393388810017,-2.98464456454964,28.57142857142857,2023-12-06 10:27:24.565873,2023-12-06 10:27:24.751888,0 days 00:00:00.186015,32,12,20,1,COMPLETE
82,,,,,2023-12-06 10:27:24.752545,2023-12-06 10:27:24.939074,0 days 00:00:00.186529,72,40,40,1,FAIL
