number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
45,1.752724600454138,1.5010720853805646,4.427823643526666,51.162790697674424,2023-12-06 10:18:36.228081,2023-12-06 10:18:36.417640,0 days 00:00:00.189559,2.5338040278789333,32,16,180,0,COMPLETE
46,,,,,2023-12-06 10:18:36.418259,2023-12-06 10:18:36.609919,0 days 00:00:00.191660,2.4872147981898016,4,40,104,0,FAIL
47,0.044614652641163224,0.9784540665582651,-0.16587960460369078,39.473684210526315,2023-12-06 10:18:36.611324,2023-12-06 10:18:36.802977,0 days 00:00:00.191653,2.92795752543878,40,72,184,0,COMPLETE
48,,,,,2023-12-06 10:18:36.803604,2023-12-06 10:18:36.992830,0 days 00:00:00.189226,2.9555118646695675,4,68,80,0,FAIL
49,1.8433307521043234,1.8549477540964416,5.119816522437861,46.666666666666664,2023-12-06 10:18:36.993806,2023-12-06 10:18:37.204285,0 days 00:00:00.210479,2.9301580335176753,60,64,216,0,COMPLETE
50,-0.46455865599939505,0.9304853915457889,-0.8737861653935411,36.666666666666664,2023-12-06 10:18:37.204965,2023-12-06 10:18:37.395046,0 days 00:00:00.190081,1.549029498292291,52,24,48,0,COMPLETE
51,-0.15258054380339459,0.9906828355819935,-0.5207796212099983,33.56164383561644,2023-12-06 10:18:37.395656,2023-12-06 10:18:37.583745,0 days 00:00:00.188089,1.676266318092015,16,48,116,0,COMPLETE
52,-0.2828166033107322,0.9696086016868777,-0.6352059200279306,47.368421052631575,2023-12-06 10:18:37.584469,2023-12-06 10:18:37.775046,0 days 00:00:00.190577,2.7892015007051576,72,72,36,0,COMPLETE
53,0.8207282803763605,1.195816474919897,1.8421438584018754,51.28205128205128,2023-12-06 10:18:37.775678,2023-12-06 10:18:37.970958,0 days 00:00:00.195280,2.735074959919584,44,60,212,1,COMPLETE
54,-1.5481090932545594,0.802516235618914,-1.7584253350303272,34.45378151260504,2023-12-06 10:18:37.971586,2023-12-06 10:18:38.159611,0 days 00:00:00.188025,1.5406268393267495,48,24,80,1,COMPLETE
55,1.1177339084291025,1.2512304930020544,2.34680027276222,30.0,2023-12-06 10:18:38.160403,2023-12-06 10:18:38.350772,0 days 00:00:00.190369,2.2735967691762102,68,44,52,1,COMPLETE
56,3.870975491898643,2.3200049634527296,15.786799825347426,44.680851063829785,2023-12-06 10:18:38.351395,2023-12-06 10:18:38.542311,0 days 00:00:00.190916,2.609381161469427,52,8,112,1,COMPLETE
57,1.8962612726225372,1.3747165838674138,3.3049264564699716,35.84905660377358,2023-12-06 10:18:38.543074,2023-12-06 10:18:38.732747,0 days 00:00:00.189673,2.6791650985070152,44,12,116,1,COMPLETE
