number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_OI_window_rank,params_OI_window_rank_MA,params_RV_period,params_RV_window,system_attrs_nsga2:generation,state
71,-1.9739655018862101,0.708965666477064,-1.390025603784964,30.481283422459892,2023-12-05 23:54:07.134488,2023-12-05 23:54:07.341791,0 days 00:00:00.207303,2.3018945081719258,12,16,20,72,156,96,28,1,COMPLETE
72,-1.653935724935325,0.7458433567910876,-1.4021343343178414,25.862068965517242,2023-12-05 23:54:07.342632,2023-12-05 23:54:07.546321,0 days 00:00:00.203689,1.6248473345140129,4,72,60,8,216,48,32,1,COMPLETE
73,0.23451937259127467,1.0172063142872358,0.12259182283225536,31.05590062111801,2023-12-05 23:54:07.547076,2023-12-05 23:54:07.750035,0 days 00:00:00.202959,1.622213877401739,52,52,192,28,96,216,8,1,COMPLETE
74,0.7245485700344598,1.1487827544951197,1.255249726369732,40.16393442622951,2023-12-05 23:54:07.750812,2023-12-05 23:54:07.952171,0 days 00:00:00.201359,1.783478151168132,72,8,68,52,180,192,72,1,COMPLETE
75,0.11277755484837126,0.9991176674693246,-0.03849192174117359,32.8125,2023-12-05 23:54:07.952894,2023-12-05 23:54:08.153121,0 days 00:00:00.200227,2.9235438009321193,16,40,136,44,12,192,32,1,COMPLETE
76,-0.31579858452403164,0.8139132412643568,-0.7490265661396245,31.25,2023-12-05 23:54:08.153787,2023-12-05 23:54:08.353674,0 days 00:00:00.199887,2.6865291176194868,64,60,216,60,24,192,24,1,COMPLETE
77,0.6304765104294628,1.1759212556812637,1.2220564694942535,36.26373626373626,2023-12-05 23:54:08.354592,2023-12-05 23:54:08.554334,0 days 00:00:00.199742,2.7685139087971793,48,48,136,60,132,168,52,1,COMPLETE
78,0.9145493396290234,1.2358726657860821,1.347662704591461,37.89473684210527,2023-12-05 23:54:08.555109,2023-12-05 23:54:08.755526,0 days 00:00:00.200417,2.6865291176194868,8,24,196,56,108,72,36,1,COMPLETE
79,0.6025140670638327,1.1523789568452167,0.818287400786482,27.631578947368425,2023-12-05 23:54:08.756231,2023-12-05 23:54:08.955157,0 days 00:00:00.198926,2.3996599142099577,44,32,196,32,84,72,68,1,COMPLETE
80,1.0590711610304306,1.293215270430443,2.3183802939123783,34.375,2023-12-05 23:54:08.955933,2023-12-05 23:54:09.155580,0 days 00:00:00.199647,2.824931893905129,40,48,116,40,60,96,32,1,COMPLETE
