number,value,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window,state
66,1.4845121144995643,2023-12-07 13:34:46.104103,2023-12-07 13:34:46.310169,0 days 00:00:00.206066,36,20,56,72,12,COMPLETE
67,1.1412936045697022,2023-12-07 13:34:46.311107,2023-12-07 13:34:46.517490,0 days 00:00:00.206383,32,36,60,72,16,COMPLETE
68,1.9472351487128754,2023-12-07 13:34:46.518272,2023-12-07 13:34:46.725976,0 days 00:00:00.207704,40,16,56,96,24,COMPLETE
69,-0.9651045893730439,2023-12-07 13:34:46.726973,2023-12-07 13:34:46.935925,0 days 00:00:00.208952,36,12,12,96,16,COMPLETE
70,2.1301854047461726,2023-12-07 13:34:46.936752,2023-12-07 13:34:47.143175,0 days 00:00:00.206423,44,28,44,120,20,COMPLETE
71,3.766916642574789,2023-12-07 13:34:47.143975,2023-12-07 13:34:47.355352,0 days 00:00:00.211377,44,24,52,120,12,COMPLETE
72,1.4162271136775932,2023-12-07 13:34:47.356158,2023-12-07 13:34:47.745650,0 days 00:00:00.389492,48,20,52,120,8,COMPLETE
73,1.6352398551301839,2023-12-07 13:34:47.746372,2023-12-07 13:34:47.956949,0 days 00:00:00.210577,40,32,60,96,16,COMPLETE
74,2.7548885286096705,2023-12-07 13:34:47.957727,2023-12-07 13:34:48.171043,0 days 00:00:00.213316,40,24,64,120,12,COMPLETE
75,2.140225267841639,2023-12-07 13:34:48.171792,2023-12-07 13:34:48.384063,0 days 00:00:00.212271,40,28,64,120,12,COMPLETE
76,0.9488159404884372,2023-12-07 13:34:48.384774,2023-12-07 13:34:48.595659,0 days 00:00:00.210885,28,60,68,96,8,COMPLETE
77,1.476403697550526,2023-12-07 13:34:48.596368,2023-12-07 13:34:48.809550,0 days 00:00:00.213182,32,20,64,72,12,COMPLETE
78,1.7280551406736975,2023-12-07 13:34:48.810382,2023-12-07 13:34:49.021968,0 days 00:00:00.211586,36,24,60,120,4,COMPLETE
79,1.4724195445381076,2023-12-07 13:34:49.022699,2023-12-07 13:34:49.239008,0 days 00:00:00.216309,48,16,56,120,12,COMPLETE
80,1.3232960062045322,2023-12-07 13:34:49.239790,2023-12-07 13:34:49.452622,0 days 00:00:00.212832,44,28,64,96,16,COMPLETE
81,2.8133070815516814,2023-12-07 13:34:49.453398,2023-12-07 13:34:49.664466,0 days 00:00:00.211068,44,24,52,120,20,COMPLETE
82,2.9028066474113947,2023-12-07 13:34:49.665232,2023-12-07 13:34:49.874178,0 days 00:00:00.208946,40,24,52,120,20,COMPLETE
83,2.9028066474113947,2023-12-07 13:34:49.875339,2023-12-07 13:34:50.091374,0 days 00:00:00.216035,40,24,52,120,20,COMPLETE
84,1.6746183307187041,2023-12-07 13:34:50.092136,2023-12-07 13:34:50.303555,0 days 00:00:00.211419,40,32,52,120,20,COMPLETE
85,1.7914483589366075,2023-12-07 13:34:50.304352,2023-12-07 13:34:50.514067,0 days 00:00:00.209715,40,20,52,120,20,COMPLETE
86,2.3454325773471587,2023-12-07 13:34:50.514876,2023-12-07 13:34:50.726340,0 days 00:00:00.211464,36,24,56,96,16,COMPLETE
87,0.8378945372685485,2023-12-07 13:34:50.727314,2023-12-07 13:34:50.939037,0 days 00:00:00.211723,32,16,52,96,8,COMPLETE
88,-2.2479122109136545,2023-12-07 13:34:50.939774,2023-12-07 13:34:51.150420,0 days 00:00:00.210646,40,8,48,72,12,COMPLETE
89,2.751940146332251,2023-12-07 13:34:51.151358,2023-12-07 13:34:51.363762,0 days 00:00:00.212404,36,20,60,120,20,COMPLETE
90,2.2207141919283195,2023-12-07 13:34:51.364536,2023-12-07 13:34:51.574328,0 days 00:00:00.209792,44,28,56,120,16,COMPLETE
91,1.9997221370531886,2023-12-07 13:34:51.575075,2023-12-07 13:34:51.783757,0 days 00:00:00.208682,36,24,60,120,20,COMPLETE
92,2.182973826548761,2023-12-07 13:34:51.784467,2023-12-07 13:34:51.996073,0 days 00:00:00.211606,40,20,52,120,24,COMPLETE
93,1.1367194077814544,2023-12-07 13:34:51.996862,2023-12-07 13:34:52.208384,0 days 00:00:00.211522,32,20,60,96,68,COMPLETE
94,2.975769488791434,2023-12-07 13:34:52.209278,2023-12-07 13:34:52.418373,0 days 00:00:00.209095,44,24,56,120,24,COMPLETE
95,3.2878413664791375,2023-12-07 13:34:52.419411,2023-12-07 13:34:52.630526,0 days 00:00:00.211115,48,24,48,120,24,COMPLETE
96,3.2878413664791375,2023-12-07 13:34:52.631285,2023-12-07 13:34:52.842188,0 days 00:00:00.210903,48,24,48,120,24,COMPLETE
97,2.129000389253975,2023-12-07 13:34:52.842989,2023-12-07 13:34:53.053152,0 days 00:00:00.210163,48,16,44,96,24,COMPLETE
